what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1332535525361
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1332535525388
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1332535525388
started,bundle,org.springframework.ide.eclipse.beans.core,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.beans.core",1332535525402
started,bundle,org.springframework.ide.eclipse.beans.ui,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.beans.ui",1332535525404
started,bundle,org.springframework.ide.eclipse.core,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.core",1332535525414
started,bundle,org.springframework.ide.eclipse.uaa,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.uaa",1332535525435
started,bundle,org.springframework.ide.eclipse.ui,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.ui",1332535525446
os,sysinfo,,,"win32",1332535525448
arch,sysinfo,,,"x86_64",1332535525448
ws,sysinfo,,,"win32",1332535525448
locale,sysinfo,,,"en_US",1332535525448
processors,sysinfo,,,"8",1332535525448
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1332535525448
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1332535525448
java.specification.name,sysinfo,,,"Java Platform API Specification",1332535525448
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1332535525448
java.specification.version,sysinfo,,,"1.6",1332535525448
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1332535525448
java.version,sysinfo,,,"1.6.0_24",1332535525448
java.vm.info,sysinfo,,,"mixed mode",1332535525448
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1332535525448
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1332535525448
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1332535525448
java.vm.specification.version,sysinfo,,,"1.0",1332535525448
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1332535525448
java.vm.version,sysinfo,,,"19.1-b02",1332535525448
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1332535525470
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1332535525888
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1332535525893
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1332535525927
error,log,,,"Unable to update index for clojure-releases|http://build.clojure.org/releases",1332535528640
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1332535530089
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1332535579987
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1332535580222
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332535585760
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332535585799
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.columnNext",1332535601107
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1332535602291
started,bundle,org.eclipse.contribution.weaving.jdt,2.2.0.e37x-20111207-1200,"org.eclipse.contribution.weaving.jdt",1332535602300
started,bundle,org.aspectj.ajde,1.7.0.20111123094400,"org.aspectj.ajde",1332535602313
started,bundle,org.eclipse.ajdt.core,2.2.0.e37x-20111207-1200,"org.eclipse.ajdt.core",1332535602325
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332535611203
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332535617204
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.columnNext",1332535649585
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.columnNext",1332535650034
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1332535650674
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1332535651747
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.columnPrevious",1332535654730
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.columnPrevious",1332535654898
